name,address,resolvedaddress,latitude,longitude,z,lsm
lasvegas,lasvegas,"Las Vegas, NV, United States",36.172,-115.14,7441.9165,0.9903219
chicago,chicago,"Chicago, IL, United States",41.884,-87.632,1894.7915,0.7308817
seattle,seattle,"Seattle, WA, United States",47.604,-122.329,741.31885,0.7649883
houston,houston,"Houston, TX, United States",29.761,-95.37,182.67822,0.98625505
denver,denver,"Denver, CO, United States",39.74,-104.992,16893.162,0.987357
losangeles,losangeles,"Los Angeles, CA, United States",34.054,-118.245,1315.8071,0.95556843
miami,miami,"Miami, FL, United States",25.775,-80.198,43.529785,0.52757716
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2103.0024,0.9967034
boston,boston,"Boston, MA, United States",42.359,-71.057,290.83447,0.78197265
